city,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed
namibe,-15.2,69.35,79,69,3.29
bethel,41.37,53.6,93,90,4.7
da nang,16.07,77.0,88,75,5.82
mar del plata,-38.0,57.2,67,0,5.82
pacific grove,36.62,73.0,16,1,5.82
dukhovshchina,55.19,43.75,93,69,8.81
pakdasht,35.48,60.8,30,0,0.56
kapaa,22.08,82.99,69,75,4.7
aykhal,66.0,-5.8,91,75,2.24
hermanus,-34.42,64.0,85,54,3.0
touros,-5.2,80.6,78,40,10.29
ushuaia,-54.8,51.8,50,20,16.11
hohhot,40.81,19.4,57,0,2.24
clarence town,-32.58,63.0,88,90,17.22
muhos,64.81,42.8,100,40,5.82
huarmey,-10.07,66.38,76,100,9.28
dospat,41.65,40.64,84,0,1.36
rancharia,-22.23,69.8,88,0,0.98
camargo,27.67,85.6,16,1,24.32
upernavik,72.79,17.78,82,99,5.35
rikitea,-23.12,74.71,85,100,17.09
namatanai,-3.67,84.65,64,39,5.55
la ligua,-32.45,66.2,55,0,11.41
lata,40.16,52.0,88,98,2.55
avarua,-21.21,75.2,69,100,16.11
port lincoln,-34.73,58.15,79,17,10.8
victoria,22.29,75.0,79,86,1.99
wajid,3.81,76.6,77,100,12.24
cape town,-33.93,64.99,82,0,3.36
mahebourg,-20.41,71.6,78,75,8.05
port elizabeth,-33.92,64.4,88,92,18.34
kananga,-5.9,69.22,98,100,1.83
mount gambier,-37.83,51.8,81,87,17.22
vaini,-21.2,75.2,88,75,10.29
busselton,-33.65,61.0,82,69,12.21
chokurdakh,70.63,4.48,95,99,10.33
lazaro cardenas,17.96,84.02,81,100,9.24
hobart,-42.88,54.0,62,75,6.93
hilo,19.73,78.8,83,90,5.82
butaritari,3.07,81.72,67,77,9.82
jamestown,42.1,45.0,100,90,9.17
toora-khem,52.47,25.66,87,100,2.33
kolyubakino,55.67,46.0,75,0,4.47
haines junction,60.75,41.0,69,21,12.35
vernon,50.26,34.0,75,94,1.01
ponta delgada,37.73,68.0,82,40,16.11
mataura,-46.19,53.01,74,87,3.0
neryungri,56.67,17.08,95,100,10.56
arraial do cabo,-22.97,75.2,78,20,5.82
kiama,-34.68,57.99,91,99,3.0
havelock,34.88,68.0,77,1,5.82
marrakesh,31.63,62.6,77,0,8.05
gejiu,23.31,52.56,100,62,0.96
cherskiy,68.75,4.3,93,22,6.33
alofi,-19.06,75.76,81,83,26.02
saint-philippe,-21.36,71.6,78,48,4.7
saint anthony,45.02,32.0,50,40,5.82
olafsvik,64.89,40.59,74,100,16.26
kavieng,-2.57,85.03,63,80,6.38
thompson,55.74,30.2,46,40,6.93
abha,18.22,59.0,22,0,4.52
sloboda,51.14,44.82,73,96,6.22
lavrentiya,65.58,31.64,91,8,5.61
pimenta bueno,-11.67,85.03,52,66,3.38
aklavik,68.22,12.2,85,75,9.17
pevek,69.7,23.04,94,98,18.07
praya,14.92,78.8,83,40,18.34
bengkulu,-3.8,74.39,81,100,3.06
bonthe,7.53,79.14,87,81,6.49
pyapon,16.28,74.82,92,33,4.81
la ronge,55.1,30.2,50,20,11.41
